iter	Logloss
0	0.6760465737
1	0.6593184556
2	0.643437335
3	0.6283545868
4	0.6122504123
5	0.5967979418
6	0.5833664748
7	0.5700626802
8	0.5575726138
9	0.5445699649
10	0.5353462931
11	0.5238311164
12	0.5128362104
13	0.5011428784
14	0.490482646
15	0.4804907688
16	0.4707163823
17	0.4606691506
18	0.4516831852
19	0.4413721242
20	0.4329459996
21	0.4236198134
22	0.4159870109
23	0.4088309605
24	0.401040073
25	0.3939124187
26	0.3873470217
27	0.3805482329
28	0.374339359
29	0.3676552728
30	0.3633070471
31	0.3581774981
32	0.3518760457
33	0.3462762684
34	0.340371787
35	0.3355056664
36	0.3323849046
37	0.3271313803
38	0.3229071989
39	0.3181248026
40	0.3133505219
41	0.308662708
42	0.3041923724
43	0.300510094
44	0.2960942114
45	0.2931369179
46	0.2896070903
47	0.2866392982
48	0.2835848415
49	0.2800388293
50	0.2769223421
51	0.2739798673
52	0.2708584489
53	0.2677592407
54	0.2650099001
55	0.2621174758
56	0.2595903371
57	0.2568808465
58	0.2539040238
59	0.2512448956
60	0.2484568331
61	0.246392157
62	0.2444096723
63	0.2421979991
64	0.2397778525
65	0.2380658673
66	0.2361724473
67	0.2350708801
68	0.2331696104
69	0.2313156794
70	0.230467863
71	0.2290041694
72	0.2272537056
73	0.2255276956
74	0.223674
75	0.2222896902
76	0.221022006
77	0.2198243407
78	0.2189579932
79	0.2175072027
80	0.2163968216
81	0.2149581884
82	0.2138637503
83	0.2125167995
84	0.2113738939
85	0.2103706613
86	0.2094048406
87	0.2079859295
88	0.206969552
89	0.2054049494
90	0.2046042526
91	0.2038964763
92	0.20276821
93	0.2012183454
94	0.2005580546
95	0.1994478165
96	0.1989141972
97	0.1982806082
98	0.1977100107
99	0.1968390452
100	0.1963418106
101	0.1951716345
102	0.1941290178
103	0.1931276383
104	0.1921892814
105	0.1918373308
106	0.1914909428
107	0.1909942435
108	0.1904589253
109	0.1899802586
110	0.1890526363
111	0.1886493954
112	0.1881825681
113	0.187465857
114	0.1869924734
115	0.1865044674
116	0.1861093105
117	0.1857569271
118	0.1853011098
119	0.184888497
120	0.1845274244
121	0.183990681
122	0.1836168857
123	0.183082828
124	0.1826414567
125	0.1823222644
126	0.1814238549
127	0.1811978062
128	0.1808290151
129	0.1804343652
130	0.1801638049
131	0.1799428446
132	0.1796899994
133	0.1791298655
134	0.1789060695
135	0.1785227903
136	0.1782646663
137	0.1782287668
138	0.1778268252
139	0.1775334585
140	0.177066803
141	0.1765920492
142	0.1760741253
143	0.1758432474
144	0.1755067254
145	0.1749782435
146	0.1746677593
147	0.1743218831
148	0.1739742436
149	0.1734228107
150	0.1731468084
151	0.1729595841
